time,ctdpf_ckl_seawater_pressure,ctdpf_ckl_seawater_temperature,practical_salinity,density,depth_m
8/18/2018 9:09:27.6,12.29614815,8.709094709,34.76352708,1027.038453,12.17986869
8/18/2018 8:00:02.0,168.61,4.7384,34.90833205,1028.415944,166.952257
8/18/2018 8:00:03.0,168.59,4.7393,34.90821271,1028.415652,166.9324617
8/18/2018 8:00:04.0,168.49,4.7389,34.90927011,1028.416074,166.8334853
8/18/2018 8:00:05.0,168.47,4.7353,34.90700025,1028.414605,166.81369
8/18/2018 8:00:06.0,168.52,4.733,34.90845969,1028.416262,166.8631782
8/18/2018 8:00:07.0,168.51,4.735,34.90822807,1028.415798,166.8532806
8/18/2018 8:00:08.0,168.6,4.736,34.90817836,1028.416058,166.9423594
8/18/2018 8:00:09.0,168.58,4.733,34.90796096,1028.416145,166.9225641
8/18/2018 8:00:10.0,168.62,4.7341,34.907716,1028.416007,166.9621546
8/18/2018 8:00:11.0,168.59,4.7334,34.90800161,1028.416176,166.9324617
8/18/2018 8:00:12.0,168.55,4.7356,34.90862578,1028.416228,166.8928711
8/18/2018 8:00:13.0,168.51,4.7351,34.90718935,1028.414964,166.8532806
8/18/2018 8:00:14.0,168.53,4.7328,34.90726441,1028.415385,166.8730759
8/18/2018 8:00:15.0,168.58,4.7323,34.90869739,1028.41681,166.9225641
8/18/2018 8:00:16.0,168.61,4.7327,34.9082606,1028.416556,166.952257
8/18/2018 8:00:17.0,168.59,4.7341,34.90889891,1028.416805,166.9324617
8/18/2018 8:00:18.0,168.55,4.7383,34.90846918,1028.415787,166.8928711
8/18/2018 8:00:19.0,168.56,4.7365,34.90814041,1028.415784,166.9027688
8/18/2018 8:00:20.0,168.63,4.7347,34.90801302,1028.416218,166.9720523
8/18/2018 8:00:21.0,168.58,4.7337,34.90885827,1028.416774,166.9225641
8/18/2018 8:00:22.0,168.5,4.7357,34.9085472,1028.415923,166.8433829
8/18/2018 8:00:23.0,168.53,4.7321,34.90636705,1028.414756,166.8730759
8/18/2018 8:00:24.0,168.66,4.7278,34.90778732,1028.416987,167.0017452
8/18/2018 8:00:25.0,168.57,4.7277,34.90747361,1028.416334,166.9126664
8/18/2018 8:00:26.0,168.52,4.7283,34.90791938,1028.416385,166.8631782
8/18/2018 8:00:27.0,168.63,4.7328,34.90721117,1028.415805,166.9720523
8/18/2018 8:00:28.0,168.6,4.733,34.9084171,1028.416599,166.9423594
8/18/2018 8:00:29.0,168.51,4.7275,34.90678228,1028.415532,166.8532806
8/18/2018 8:00:30.0,168.61,4.7249,34.90642988,1028.41602,166.952257
8/18/2018 8:00:31.0,168.62,4.7227,34.90745533,1028.417136,166.9621546
8/18/2018 8:00:32.0,168.54,4.7221,34.9070787,1028.416538,166.8829735
8/18/2018 8:00:33.0,168.57,4.7243,34.90824969,1028.417347,166.9126664
8/18/2018 8:00:34.0,168.63,4.7297,34.90930556,1028.417828,166.9720523
8/18/2018 8:00:35.0,168.54,4.7315,34.90687623,1028.415276,166.8829735
8/18/2018 8:00:36.0,168.54,4.7294,34.90640132,1028.415146,166.8829735
