time,Chlorophyll,Water Temp,Salinity,Nitrate,Irradiance,Sunlight
2018-12-04,0.087612226,6.293514914,34.16517796,21.09382216,,
2018-12-05,0.343319482,6.270318672,34.16364035,20.96517894,,
2018-12-06,0.293221969,6.243011043,34.16518023,21.00758998,17.45329594,58.29043913
2018-12-07,0.338675534,6.362433095,34.17315531,20.81142588,14.62073474,58.38790355
2018-12-08,0.414341645,6.404606634,34.17407881,20.74112839,8.885266482,58.47839656
2018-12-09,0.369326582,6.422495139,34.1725834,20.71440399,17.23870244,58.56188248
2018-12-10,0.34231248,6.441116486,34.17205625,20.77163217,15.23868235,58.63832851
2018-12-11,0.379706131,6.496133005,34.17080993,20.6958629,11.01020004,58.70770473
2018-12-12,0.334246026,6.505814194,34.16970553,20.70014934,22.02712011,58.7699842
2018-12-13,0.38047339,6.485945353,34.16759321,20.78888097,8.251341142,58.82514302
2018-12-14,0.412365631,6.479412729,34.16272871,20.77014947,9.653633504,58.87316037
2018-12-15,0.383087853,6.529765709,34.15764454,20.73235959,17.5153566,58.91401854
2018-12-16,0.356413882,6.569454334,34.16087218,20.69823134,14.84849246,58.947703
2018-12-17,0.464756361,6.609614993,34.16229325,20.60015291,9.078103802,58.97420238
2018-12-18,0.472196321,6.707238643,34.15282453,20.49046826,13.78480799,58.99872216
2018-12-19,0.517931351,6.751472914,34.15323491,20.56725994,6.139009411,59.01720566
2018-12-20,0.598115052,6.720565671,34.15244459,20.50430735,11.6285095,59.02850279
2018-12-21,0.750773364,6.754593738,34.15222867,20.40163577,8.040120752,59.03260607
2018-12-22,0.636307996,6.721419299,34.15589428,20.45421757,20.96104124,59.02951125
2018-12-23,0.697797298,6.729608635,34.15629923,20.42626164,16.35307072,59.01921729
2018-12-24,0.800947725,6.725437765,34.1574297,20.37143904,14.41786976,59.00172643
2018-12-25,1.175514987,6.766863286,34.15529074,20.23741725,9.315112089,58.97704411
2018-12-26,1.253845772,6.78472429,34.15343825,20.15878801,11.6923885,58.94517902
2018-12-27,1.174370586,6.794755948,34.15530312,20.11717121,19.46677265,58.90614304
2018-12-28,1.165586073,6.782878348,34.15349852,20.15011959,18.63361255,58.85995125
2018-12-29,1.551171432,6.822916133,34.15460912,19.9964741,11.82039971,58.80662186
2018-12-30,2.075889618,6.826168458,34.14529743,19.93102695,5.143291579,58.7461762
2018-12-31,2.155135371,6.807183773,34.14655146,19.77293957,10.27465918,58.67863864
2019-01-01,2.253737429,6.889843787,34.14813889,19.54943572,13.9360569,58.60436453
2019-01-02,2.619341112,6.864803042,34.14382486,19.57439587,8.589475107,58.52336724
2019-01-03,2.599128085,6.719620008,34.1412973,19.87310159,8.412583488,58.43543053
2019-01-04,2.486552645,6.782515295,34.14397366,19.7212522,12.34232407,58.34079792
2019-01-05,2.798593418,6.828730652,34.1402515,19.57557273,10.44079818,58.2394139
2019-01-06,2.926077732,6.798274142,34.14121986,19.63165432,9.078743128,58.13124233
2019-01-07,3.14591471,6.780532669,34.14240158,19.62066016,8.686383011,58.01653811
2019-01-08,2.8154617,6.749065106,34.14574949,19.63162846,13.57669892,57.89499822
2019-01-09,3.07159004,6.831995976,34.14659778,19.52437391,7.555702521,57.76666964
2019-01-10,3.767243329,6.84793086,34.14299725,19.39513579,7.035328191,57.63160185
2019-01-11,3.529832812,6.79852985,34.14410643,19.43780558,7.126693787,57.48984672
2019-01-12,3.614742104,6.757399309,34.14145306,19.57488496,5.987486129,57.34145844
2019-01-13,3.585337637,6.831780554,34.13928216,19.40444588,8.203142619,57.1864934
2019-01-14,3.876343076,6.910774683,34.13438643,19.3136309,8.667883269,57.02501016
2019-01-15,3.640670233,6.958263989,34.13883231,19.16807869,8.902661608,56.85706931
2019-01-16,4.287425794,6.981268919,34.13991066,18.97701637,6.475008587,56.68273341
2019-01-17,4.863469952,7.137963068,34.13670738,18.68295686,5.57199489,56.50206688
2019-01-18,5.339411184,7.14196538,34.13605443,18.65327483,4.526263641,56.31513595
2019-01-19,4.116219308,7.148749717,34.13609646,18.62879247,11.24939759,56.12200856
2019-01-20,4.47080146,7.126419319,34.13866217,18.70290177,7.559304684,55.92275425
2019-01-21,4.044376702,7.067571568,34.14192076,18.75119717,8.218443642,55.71744416
2019-01-22,4.368395417,7.242701812,34.13007226,18.59554846,5.091837219,55.50615085
2019-01-23,3.717121854,7.179898352,34.1313726,18.65467731,8.962977091,55.28894832
2019-01-24,3.458596668,7.262376507,34.12706819,18.56030853,10.04368026,55.06591189
2019-01-25,3.65925995,7.282565407,34.12674273,18.50467911,7.142390467,54.83831451
2019-01-26,3.228992349,7.284187035,34.12547552,18.55280695,8.589219185,54.60677677
2019-01-27,3.335750301,7.031640643,34.13952175,18.8354503,9.037001501,54.36946295
2019-01-28,3.164013546,7.257668921,34.12879436,18.55683641,10.19875968,54.12645265
2019-01-29,2.822315914,7.172322371,34.13272987,18.67195446,11.52856524,53.8778268
2019-01-30,2.960772606,7.164880077,34.13387469,18.70039474,8.362421144,53.62366761
2019-01-31,3.041085222,7.266612817,34.12836242,18.59590525,6.111696648,53.36405848
2019-02-01,2.582490798,7.195254363,34.13257702,18.72654254,8.817015009,53.09908401
2019-02-02,1.730093296,7.082627105,34.13708328,19.05346873,10.01621821,52.8288299
2019-02-03,1.784942995,7.164898774,34.13642657,18.97960532,4.57301533,52.53208166
2019-02-04,,,,,,
2019-02-05,,,,,,
2019-02-06,,,,,,
2019-02-07,,,,,,
2019-02-08,,,,,,
2019-02-09,,,,,,
2019-02-10,,,,,,
2019-02-11,0.70285593,7.452845009,34.1226299,18.61500104,12.12260642,50.17360677
2019-02-12,0.794934214,7.444447272,34.11204069,18.60173725,13.29371461,49.85549048
2019-02-13,0.831874803,7.463816181,34.11570196,18.59336815,9.407222338,49.53310138
2019-02-14,0.793104979,7.463467886,34.11696499,18.66178307,13.16114795,49.2065362
2019-02-15,0.945889282,7.481109885,34.11471023,18.68182802,7.005683728,48.87589246
2019-02-16,0.848000956,7.470812903,34.11516594,18.72510435,12.20724918,48.54126845
2019-02-17,0.846013991,7.479791824,34.1174207,18.76550016,15.7434319,48.20276329
2019-02-18,1.318708735,7.471628235,34.11866019,18.79711356,0.366689077,11.58451905
2019-02-19,0.742415364,7.24897336,34.12211597,19.09553301,,
2019-02-20,0.679817848,7.321812283,34.12427456,18.99037671,20.22440561,47.16496355
2019-02-21,1.123194223,7.359350697,34.12245104,18.91886281,6.50742276,46.81194033
2019-02-22,0.997708014,7.379559838,34.12063126,18.90232025,12.13377641,46.45554312
2019-02-23,1.138063329,7.393171514,34.12177629,18.90370138,9.039711866,46.09587568
2019-02-24,0.928467969,7.547348881,34.12114032,18.68456221,11.08417834,45.73304254
2019-02-25,0.94027471,7.435820213,34.12003475,19.04641132,12.60978687,45.36714899
2019-02-26,1.048379011,7.396903872,34.11558131,19.33794519,4.55145566,44.99830111
2019-02-27,0.993923229,7.690449963,34.11284922,18.83975235,11.11347601,44.62660576
2019-02-28,1.061864896,7.669533841,34.10746641,19.03078591,9.03214167,44.25217055
2019-03-01,1.103663315,7.853264728,34.10859827,18.80448705,7.277338301,43.87510386
2019-03-02,1.12627575,7.730578054,34.11072665,18.89504904,10.34093032,43.49551485
2019-03-03,1.177532723,7.534949009,34.11495499,18.94335247,7.24300704,43.11351344
2019-03-04,1.115800367,7.461672712,34.1180235,18.98633869,7.380972719,42.72921031
2019-03-05,1.104037412,7.490071308,34.11989672,18.96311185,8.144300885,42.34271688
2019-03-06,0.990368889,7.478498885,34.11975362,19.00641373,9.726788029,41.95578851
2019-03-07,1.063867423,7.561452974,34.1198074,18.97043156,5.634871306,41.56761009
2019-03-08,0.890873037,7.541813197,34.11908003,18.98251602,8.848824154,41.17763437
2019-03-09,0.968364612,7.561158516,34.1160208,18.98145929,5.326580222,40.78597135
2019-03-10,0.819668217,7.639054705,34.11657879,18.88726932,8.883373168,40.39273173
2019-03-11,0.867920799,7.696201038,34.11732985,18.84388424,6.479572811,39.99802695
2019-03-12,0.684316934,7.542855397,34.11415086,19.17407674,6.49569284,39.60196914
2019-03-13,0.744714697,7.779097853,34.11872835,18.82006711,6.266792805,39.20467113
2019-03-14,0.827199443,7.596065971,34.11128476,19.18231227,2.771768825,38.80624645
2019-03-15,0.625500531,7.695673152,34.10789443,19.03019093,8.547793476,38.40680924
2019-03-16,0.718719423,7.879333962,34.10876015,18.82289917,5.396998776,38.00647432
2019-03-17,0.620810759,7.709836653,34.10687715,19.04638671,7.411848428,37.60535711
2019-03-18,0.597966379,7.64939092,34.10761046,19.12034148,6.141222926,37.20357362
2019-03-19,0.533198672,7.687900204,34.10779002,19.10565613,4.294147544,36.80124042
2019-03-20,0.518653533,7.570194728,34.10723984,19.3453462,7.551693718,36.39847463
2019-03-21,0.487632745,7.433667599,34.10172428,19.80323753,6.877412232,35.99539385
2019-03-22,0.456164096,7.409024656,34.09245119,20.11469124,7.027732262,35.59211617
2019-03-23,0.444866372,7.369550227,34.08987988,20.25495538,7.45814263,35.18876011
2019-03-24,0.478212573,7.313263273,34.08854003,20.34383887,6.973788909,34.78544458
2019-03-25,0.605895938,7.299014234,34.08957756,20.35531083,3.023241405,34.38228887
2019-03-26,0.545255901,7.251338614,34.08339156,20.52320242,4.339072708,33.97941258
2019-03-27,0.512287137,7.220418555,34.08347245,20.56437955,5.943098205,33.57693557
2019-03-28,0.61710194,7.224439747,34.08487965,20.52740976,2.695285906,33.17502416
2019-03-29,0.552321533,7.281826436,34.08609391,20.31079588,4.111655326,32.7739481
2019-03-30,0.489368928,7.418602016,34.09399701,19.90627619,4.251347413,32.37362941
2019-03-31,0.461289819,7.400369248,34.09099386,19.99189533,5.580818024,31.97420483
2019-04-01,0.414090273,7.436625075,34.09086215,19.92188689,5.320571129,31.57599828
2019-04-02,0.418558358,7.302854331,34.09085449,20.24911816,6.041327212,31.17890656
2019-04-03,0.477583942,7.205244259,34.09226113,20.41800224,3.382713757,30.7830497
2019-04-04,0.490654299,7.16910513,34.09090133,20.51338444,2.232524217,30.38875531
2019-04-05,0.410960423,7.131241871,34.08829857,20.57103846,6.00132413,29.99595252
2019-04-06,0.446683328,7.097052461,34.08990165,20.625636,4.999276567,29.60473956
2019-04-07,0.453452566,7.045079109,34.08832865,20.7711031,4.728245878,29.21523557
2019-04-08,0.47856212,7.039164184,34.08800413,20.83674008,4.559019375,28.8275594
2019-04-09,0.543233424,7.020928632,34.08737407,20.8853176,2.089391487,28.4418295
2019-04-10,0.450251026,6.984967938,34.08695693,20.97654438,4.28839113,28.05816393
2019-04-11,0.499504071,6.966416385,34.08797624,21.00364691,2.84301956,27.67668026
2019-04-12,0.466867346,6.972490148,34.08681244,20.94127451,5.066635411,27.29749553
2019-04-13,0.504953449,7.100150944,34.09647405,20.47055626,2.797215917,26.92072618
2019-04-14,0.526919979,7.156525518,34.09764778,20.29618514,2.932905329,26.54648804
2019-04-15,0.516982265,7.049191138,34.09578924,20.50125678,4.88900207,26.1748962
2019-04-16,0.555361492,6.915645562,34.09444764,20.83860538,2.116429645,25.80606502
2019-04-17,0.544940565,6.80400846,34.09111357,21.17780585,1.910022443,25.44010804
2019-04-18,0.52543693,6.737809369,34.08939038,21.39048569,2.648298482,25.07713794
