time,Chlorophyll,Irradiance,Irradiance2,Prediction1,Nitrate,Nitrate2,Prediction2
2015-12-14,0.906943548,,22.93301389,,,15.51178438,
2015-12-15,1.470704445,,22.30552275,,,16.19207151,
2015-12-16,2.052755259,,9.488957647,,,16.49997556,
2015-12-17,2.248521594,,9.894163394,,,16.67613354,
2015-12-18,2.398202261,,18.71910797,,,16.65450101,
2015-12-19,2.585080938,,14.33147684,,,16.33766342,
2015-12-20,3.04882532,,9.231366817,,,16.09921756,
2015-12-21,2.685771527,,13.32446297,,,16.07256677,
2015-12-22,2.781354367,,8.693531374,,,16.6882527,
2015-12-23,2.182504543,,15.60597288,,,16.36050472,
2015-12-24,1.992434923,,18.61257814,,,16.66224978,
2015-12-25,2.361602908,,11.29222679,,,16.3238117,
2015-12-26,2.847408491,,6.45852405,,,15.82653741,
2015-12-27,2.706379934,,8.761245033,,,15.73342337,
2015-12-28,2.466245014,,8.737306394,,,15.79454064,
2015-12-29,2.641129903,,15.11320552,,,15.20870904,
2015-12-30,2.874546566,,12.79937737,,,15.31733548,
2015-12-31,2.994421538,,16.01448356,,,15.39091023,
2016-01-01,3.609510843,,3.613334529,,,14.73023993,
2016-01-02,3.124053361,,13.58794221,,,14.68869679,
2016-01-03,3.036332772,,13.41155131,,,14.48374971,
2016-01-04,2.660051351,,8.18572685,,,14.55456047,
2016-01-05,2.338288175,,12.10117592,,,14.50367797,
2016-01-06,2.186939089,,13.24793743,,,14.42434208,
2016-01-07,1.995101424,,14.60301508,,,14.4348391,
2016-01-08,1.68319894,,8.399668979,,,13.79815697,
2016-01-09,1.47538748,,11.19292679,,,13.46337918,
2016-01-10,1.191602452,,9.398441279,,,13.83743614,
2016-01-11,1.015931592,,19.3242005,,,13.86327792,
2016-01-12,0.723929642,,10.4996098,,,13.31491946,
2016-01-13,0.540884832,,16.21458248,,,13.21240071,
2016-01-14,0.482199439,,16.35545479,,,13.42719432,
2016-01-15,0.440077464,,26.30035162,,,13.59662816,
2016-01-16,0.430965306,,28.85592213,,,13.70365554,
2016-01-17,0.380966591,,24.80248447,,,13.90193123,
2016-01-18,0.457636122,,17.87231205,,,14.03668281,
